rule,param,live,demo,n_stop,elapsed_s,time_saved_s,dev_pos_mm,dev_rot_deg,abs_pos_mm,abs_rot_deg,failed
time,0.5,pick_up_mug_007,pick_up_mug_004,78,0.5025,2.4976,4.6794,0.7847,959.9784,119.8436,0
time,0.5,pick_up_mug_007,pick_up_mug_005,37,0.5071,2.5064,0.0,0.0,1095.0313,160.6024,0
time,0.5,pick_up_mug_007,pick_up_mug_006,59,0.5042,2.4966,0.0,0.0,529.416,58.1882,0
time,0.5,pick_up_mug_007,pick_up_mug_008,41,0.5057,2.4944,47.9951,5.0761,244.4362,27.4149,0
time,0.5,pick_up_mug_008,pick_up_mug_001,46,0.513,2.4937,6.0026,0.5129,185.973,13.02,0
time,0.5,pick_up_mug_008,pick_up_mug_002,57,0.5042,2.499,3.9394,0.3988,629.6656,62.5227,0
time,0.5,pick_up_mug_008,pick_up_mug_003,56,0.5055,2.4996,0.0,0.0,715.7155,74.9049,0
time,0.5,pick_up_mug_008,pick_up_mug_004,54,0.5024,2.4987,32.2836,3.0397,1066.4109,128.6391,0
time,0.5,pick_up_mug_008,pick_up_mug_005,41,0.5108,2.4957,9.3037,0.9075,1185.0361,168.5865,0
time,0.5,pick_up_mug_008,pick_up_mug_006,41,0.5083,2.5069,18.9465,1.8209,601.6363,63.4874,0
time,0.5,pick_up_mug_008,pick_up_mug_007,53,0.5068,2.4952,0.0,0.0,178.1164,18.9693,0
time,0.75,pick_up_mug_001,pick_up_mug_002,100,0.7575,2.2526,0.0,0.0,291.5083,31.8199,0
time,0.75,pick_up_mug_001,pick_up_mug_003,92,0.7566,2.2536,39.3136,4.6521,319.244,38.296,0
time,0.75,pick_up_mug_001,pick_up_mug_004,101,0.7624,2.2426,0.2497,0.0296,691.9397,96.835,0
time,0.75,pick_up_mug_001,pick_up_mug_005,56,0.7514,2.2561,6.8915,0.8257,827.3678,127.2754,0
time,0.75,pick_up_mug_001,pick_up_mug_006,69,0.751,2.2591,13.0457,1.4809,218.5291,26.6178,0
time,0.75,pick_up_mug_001,pick_up_mug_007,85,0.7528,2.2488,0.2809,0.0365,217.4392,28.7756,0
time,0.75,pick_up_mug_001,pick_up_mug_008,55,0.7505,2.2501,0.0,0.0,180.3799,19.248,0
time,0.75,pick_up_mug_002,pick_up_mug_001,53,0.7564,2.2467,18.6403,1.7455,596.8584,55.3831,0
